zenodo_id	title	url	data_type	prob_eye_imaging	img_files	archives	size_mb
375984	FIGURES 23–26. 23 in Intraspecific variation in adult Uvitellina iraquensis Dronen, Ali & Al-Amura, 2013 (Cyclocoelidae: Haematotrephinae) from two co	https://zenodo.org/records/375984	data_files	0.776	1	0	2.7
1161624	Fig 20 in Biodiversity and Biogeography of Chthamalid Barnacles from the North-Eastern Pacific (Crustacea Cirripedia)	https://zenodo.org/records/1161624	data_files	0.775	1	0	3.5
201048	FIGURES 18–20 in Trichoptera — the newest insect order host of temnocephalans (Platyhelminthes, Temnocephalida) and the description of a new species o	https://zenodo.org/records/201048	data_files	0.774	1	0	3.8
211071	FIGURE 10 in New and lesser known species of Chrysopetalidae, Phyllodocidae and Syllidae from south California (Phyllodocida, Aciculata, Annelida)	https://zenodo.org/records/211071	data_files	0.774	1	0	0.8
3710344	Fig. 2 in Otolith morphometry provides length and weight predictions and insights about capture sites of Prochilodus lineatus (Characiformes: Prochilo	https://zenodo.org/records/3710344	data_files	0.773	1	0	0.2
15371380	FIGURE 2 in Holopelagic Annelida from the Red Sea off the Central Saudi Arabian coast	https://zenodo.org/records/15371380	data_files	0.773	1	0	0.5
10349235	Kotte	https://zenodo.org/records/10349235	data_files	0.768	7	0	37.7
6599442	CAMRIatUNC/Photometry-tools: HRF Computation	https://zenodo.org/records/6599442	data_files	0.767	0	1	0.1
6816137	EyeLab	https://zenodo.org/records/6816137	data_files	0.767	0	1	0.5
5179470	Figures 7–10 in Two new species of Batrisodes Reitter (Coleoptera: Staphylinidae: Pselaphinae) from eastern North America	https://zenodo.org/records/5179470	data_files	0.766	1	0	1.0
5361174	Fig. 20 in Braincase Of The Upper Devonian Shark Cladodoides Wildungensis (Chondrichthyes, Elasmobranchii With Observations On The Braincase In Early 	https://zenodo.org/records/5361174	data_files	0.764	1	0	0.1
7040860	felwag/photoreceptor-pattern-analysis: Photoreceptor pattern analysis	https://zenodo.org/records/7040860	data_files	0.759	0	1	0.2
7322650	FIGURE 5 in New species of Temnocephala (Platyhelminthes, Temnocephalidae) ectosymbiont on decapod crustaceans Aegla jarai (Aeglidae) from Brazil and 	https://zenodo.org/records/7322650	data_files	0.756	1	0	5.3
1161622	Fig 19 in Biodiversity and Biogeography of Chthamalid Barnacles from the North-Eastern Pacific (Crustacea Cirripedia)	https://zenodo.org/records/1161622	data_files	0.755	1	0	3.6
8192556	Localized Medical VQA	https://zenodo.org/records/8192556	data_files	0.754	0	1	1944.1
16721281	Figures 57- 58 from: Glasby CJ, Biriukova O, Martin P, Dyne GR, Utevsky S, Wilson RS (2025) ANNiKEY Linear – diagnoses, descriptions, and a single-acc	https://zenodo.org/records/16721281	data_files	0.754	1	0	0.2
14827237	Figure 2 in Fiopt data on eaolv inptao Afootoopical Miltogoamminae (Dipteoa: Saocophagidae) oeveal unexpected moophological diveopitv	https://zenodo.org/records/14827237	data_files	0.751	1	0	5.9
5210718	FIG. 39 in Alcidedorbignya inopinata, a basal pantodont (Placentalia, Mammalia) from the early Palaeocene of Bolivia: anatomy, phylogeny and palaeobio	https://zenodo.org/records/5210718	data_files	0.751	1	0	2.9
5211795	Fig. 4 in A new genus and five new species of the subfamily Florarctinae (Tardigrada, Arthrotardigrada)	https://zenodo.org/records/5211795	data_files	0.75	1	0	3.1
5994453	Alepia clavicula Durán-Luz & Ibáñez-Bernal & Sandoval-Ruiz 2018, sp. nov.	https://zenodo.org/records/5994453	related_dataset	0.748	0	0	0.0
13172092	Fig. 4 in Comparative 3D microanatomy and histology of the eyes and central nervous systems in coleoid cephalopod hatchlings	https://zenodo.org/records/13172092	data_files	0.748	1	0	5.5
5026036	Dynamic reconfiguration of macaque brain networks during natural vision	https://zenodo.org/records/5026036	data_files	0.748	22	0	3887.8
